pid,cmm_id,prediction
647,1,665.0947
1195,2,608.9652
5281976,3,585.64636
445995,4,795.10016
5280528,5,795.10016
638011,6,915.4865
31253,7,1024.8296
643779,8,915.4865
75427,9,1043.2736
101977,10,1068.0819
442474,11,1142.3267
643820,12,856.53827
443157,13,1043.2736
7793,14,1068.0819
443158,15,942.38495
7778,16,1305.1447
9017,17,1263.1185
637566,18,856.53827
16071112,19,755.5663
\N,20,851.9826
\N,21,851.9826
5320250,22,1023.28235
5281553,23,1023.28235
5463455,24,894.32007
\N,25,894.32007
\N,26,914.9501
\N,27,1000.8288
\N,28,814.8338
\N,29,814.8338
\N,30,906.40247
5280680,31,978.7291
\N,32,1331.6077
\N,35,1337.3156
16747,36,800.7684
\N,37,800.7684
\N,38,800.7684
12304687,39,1167.3865
12304690,40,1121.4108
\N,41,1034.3204
\N,42,1034.3204
\N,43,1034.3204
\N,44,1034.3204
\N,45,1034.3204
\N,46,1034.3204
\N,47,1034.3204
\N,48,1034.3204
\N,49,1034.3204
\N,50,1034.3204
\N,51,1034.3204
\N,52,1034.3204
\N,53,824.3046
24883448,54,824.3046
\N,55,729.2571
\N,56,729.2571
5281555,57,1075.4886
94147,58,729.2571
87691,60,667.52637
161276,61,681.8788
\N,62,698.23486
440906,63,671.14386
91458,64,641.97437
\N,65,601.61444
65689,66,940.2976
88708,67,685.8078
5281542,68,671.9489
442426,69,759.01965
73466,70,672.9887
161367,71,795.7427
442430,72,795.7427
442436,73,1007.15356
73467,74,679.5337
442438,75,771.8868
443328,76,615.25476
443329,77,878.3895
443331,78,671.14386
443333,79,878.3895
443334,80,771.8868
155942,81,651.26825
443335,82,651.26825
443337,83,645.5311
443338,84,866.3753
443339,85,866.3753
443340,86,642.58514
443343,87,800.2591
443344,88,927.3649
443347,89,917.12354
443348,90,917.12354
443349,91,844.143
443350,92,833.71875
443351,93,645.5311
443352,94,622.2538
442422,95,773.15656
12634575,96,850.83405
16666,98,1016.0523
439250,99,993.91797
439263,100,1016.0523
26447,101,879.9235
94221,102,777.607
439410,103,854.23413
16724,104,826.79895
369312,105,802.0357
439733,106,843.4701
16441,107,893.2262
439250,108,993.91797
7463,109,1064.1171
441245,110,876.8185
441246,111,658.5474
10364,112,897.8311
442462,113,780.05145
2758,114,855.8881
442478,115,900.1919
442482,116,963.815
442484,117,1079.0806
121719,118,770.42194
61362,119,880.85815
442495,120,835.4642
7462,121,990.0559
7461,122,1093.0518
442501,123,1009.88196
6989,124,929.8744
330573,125,777.607
443163,126,773.9046
443164,127,773.9046
22227,128,870.15045
443165,129,773.9046
443166,130,773.9046
443167,131,870.15045
443181,132,870.15045
89755,133,773.9046
443183,134,870.15045
443184,135,773.9046
1256,136,857.8124
443522,137,764.42926
443529,138,884.5672
70962,139,879.9235
111037,140,1195.2518
88693,141,854.4439
82480,142,935.65247
\N,143,876.8185
\N,144,824.66095
\N,145,824.66095
\N,146,824.66095
\N,147,824.66095
\N,148,824.66095
11116489,149,931.4163
\N,150,931.4163
381152,151,815.0449
19244,152,1016.0523
443168,153,835.9093
443182,154,835.9093
5459767,155,737.582
79023,156,742.44196
11463,157,1013.0097
19100,158,824.66095
\N,159,765.24164
6857383,160,707.98816
\N,161,994.95496
65289,162,1079.7899
\N,163,702.8445
2537,165,833.7567
439568,166,847.51544
439569,167,847.51544
15406,168,897.1253
11744854,169,798.32996
439800,170,946.56134
20218,171,783.33295
439937,172,739.54425
92221,173,1045.6874
6654,174,1001.0366
440967,175,949.16766
442460,176,1031.1113
442461,177,1313.5613
14525,178,908.863
261491,179,874.2075
443131,180,1031.1113
443156,181,1313.5613
10582,182,814.19763
61130,183,901.752
86840,184,854.4193
102667,185,735.26044
25208,190,868.02576
\N,191,908.863
\N,192,783.33295
\N,193,868.02576
\N,194,868.02576
11051711,195,1064.4987
\N,196,1064.4987
\N,197,1133.2957
